Epoch [80/100] | D Loss: 1.263474702835083 | G Loss: 5.820028305053711
Epoch [81/100] | D Loss: 0.4136245846748352 | G Loss: 2.6875054836273193
Epoch [82/100] | D Loss: 2.884082078933716 | G Loss: 0.5032956004142761
Epoch [83/100] | D Loss: 2.234739303588867 | G Loss: 1.8548778295516968
Epoch [84/100] | D Loss: 2.4688165187835693 | G Loss: 0.3615966737270355
Epoch [85/100] | D Loss: 1.6883350610733032 | G Loss: 1.257646918296814
Epoch [86/100] | D Loss: 1.7391687631607056 | G Loss: 0.6318568587303162
Epoch [87/100] | D Loss: 0.6510038375854492 | G Loss: 1.6872957944869995
Epoch [88/100] | D Loss: 3.9595322608947754 | G Loss: 0.5507068634033203
Epoch [89/100] | D Loss: 3.1099653244018555 | G Loss: 0.43740203976631165
Epoch [90/100] | D Loss: 1.5632734298706055 | G Loss: 9.201308250427246
Epoch [91/100] | D Loss: 2.170958995819092 | G Loss: 2.2208611965179443
Epoch [92/100] | D Loss: 98.2398681640625 | G Loss: 4.9670543234014986e-09
Epoch [93/100] | D Loss: 1.1510579586029053 | G Loss: 5.28171968460083
Epoch [94/100] | D Loss: 0.7257727384567261 | G Loss: 3.1561269760131836
Epoch [95/100] | D Loss: 1.2351508140563965 | G Loss: 1.0024102926254272
Epoch [96/100] | D Loss: 2.1428706645965576 | G Loss: 0.9201936721801758
Epoch [97/100] | D Loss: 3.0719399452209473 | G Loss: 2.50968074798584
Epoch [98/100] | D Loss: 1.3665525913238525 | G Loss: 3.6535136699676514
Epoch [99/100] | D Loss: 1.210918664932251 | G Loss: 1.997878909111023
Epoch [100/100] | D Loss: 1.1755664348602295 | G Loss: 5.482795238494873
